,,,Season Price & Arrival Report (2026-27),,,
,,,Kharif Marketing Season Marketing Season 01 Oct - 30 Sep ,,Rabi Marketing Season Marketing Season 01 Apr - 31 Mar ,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,Kharif Marketing Season Price (Rs./Quintal),Kharif Marketing Season Arrival (Metric Tonnes),Rabi Marketing Season Price (Rs./Quintal),Rabi Marketing Season Arrival (Metric Tonnes)
Cereals,Barley(Jau),2150.00,-,-,2058.18,210253.80
Cereals,Wheat,2585.00,-,-,2502.39,16622805.39
Oil Seeds,Copra,12100.00,-,-,22781.38,19091.55
Oil Seeds,Mustard,6200.00,-,-,6741.70,826163.77
Oil Seeds,Safflower,6540.00,-,-,7158.07,8874.54
Pulses,Bengal Gram(Gram)(Whole),5875.00,-,-,5621.86,714524.57
Pulses,Black Gram(Urd Beans)(Whole),8200.00,-,-,8101.73,130392.31
Pulses,Green Gram(Moong)(Whole),8780.00,-,-,7205.71,492698.09
Pulses,Lentil(Masur)(Whole),7000.00,-,-,7156.09,136340.41

